state,year,co2_emissions,energy_consumption,energy_production,renewable_consumption,solar_permits,solar_kw_total,median_aqi,max_aqi,unhealthy_days,good_days,clean_energy_ratio,emission_intensity,flag
VT,2022,2312.0,116167.0,19506.0,34268.0,,,,,,,0.295,0.0199,No flag
VT,2023,2339.0,113104.0,19612.0,33057.0,,,,,,,0.2923,0.0207,No flag
WA,2019,25601.0,1702185.0,477471.0,344912.0,1.0,11.78,,,,,0.2026,0.015,No flag
WA,2020,20331.0,1419318.0,498119.0,302354.0,,,,,,,0.213,0.0143,No flag
WA,2021,22443.0,1525644.0,474940.0,311526.0,,,,,,,0.2042,0.0147,No flag
WA,2022,22629.0,1566242.0,514904.0,325401.0,8.0,67.84666666666666,,,,,0.2078,0.0144,No flag
WA,2023,23117.0,1602662.0,440429.0,339354.0,242.0,2728.1700000000014,,,,,0.2117,0.0144,Solar growth but high emissions
WI,2019,23073.0,1812444.0,311187.0,436437.0,,,,,,,0.2408,0.0127,No flag
WI,2020,20481.0,1660283.0,266765.0,406756.0,,,,,,,0.245,0.0123,No flag
WI,2021,22227.0,1721207.0,272396.0,405865.0,,,,,,,0.2358,0.0129,No flag
WI,2022,22718.0,1762186.0,278483.0,427611.0,,,,,,,0.2427,0.0129,No flag
WI,2023,22990.0,1656177.0,275057.0,381112.0,,,,,,,0.2301,0.0139,No flag
WV,2019,6854.0,817732.0,5142059.0,153418.0,,,,,,,0.1876,0.0084,No flag
WV,2020,5786.0,786352.0,4974769.0,144544.0,,,,,,,0.1838,0.0074,No flag
WV,2021,6608.0,835873.0,5392514.0,145904.0,,,,,,,0.1746,0.0079,No flag
WV,2022,6425.0,829676.0,5677994.0,151512.0,,,,,,,0.1826,0.0077,No flag
WV,2023,6833.0,832806.0,6089936.0,137319.0,,,,,,,0.1649,0.0082,No flag
WY,2019,2875.0,534214.0,7131211.0,51814.0,,,,,,,0.097,0.0054,No flag
WY,2020,2708.0,483752.0,5748492.0,46967.0,,,,,,,0.0971,0.0056,No flag
WY,2021,2732.0,481123.0,5978347.0,46073.0,,,,,,,0.0958,0.0057,No flag
WY,2022,2473.0,494020.0,6011777.0,47552.0,,,,,,,0.0963,0.005,No flag
WY,2023,2431.0,499766.0,5845631.0,48127.0,,,,,,,0.0963,0.0049,No flag
X3,2019,,,5108039.0,,,,,,,,,,No flag
X3,2020,,,4388669.0,,,,,,,,,,No flag
X3,2021,,,4456368.0,,,,,,,,,,No flag
X3,2022,,,4484652.0,,,,,,,,,,No flag
X3,2023,,,4736995.0,,,,,,,,,,No flag
X5,2019,,,25350.0,,,,,,,,,,No flag
X5,2020,,,26002.0,,,,,,,,,,No flag
X5,2021,,,22714.0,,,,,,,,,,No flag
X5,2022,,,15244.0,,,,,,,,,,No flag
X5,2023,,,17175.0,,,,,,,,,,No flag
